AREAACRES,AREASQKM,STATES,HUC12,NAME,TOHUC,dem_mean,PctCarbKarstH8,PctVolcKarstH8,PctUnconsH8,AquiRichH8,PctMarWetMeaH8,MeanSBDH8_rev,hydroSumW,hydroCompositeStd,PctChange_Bio13_MEAN_H8,PctChange_Bio19_MEAN_H8,MeanJunFloPctCh2040,MeanDifSWEH8,Diff_bio8_rev,Diff_bio9_rev,Diff_bio5_rev,MeanDifPNVH8_rev,MacroSumW,MacroCompositeStd,sum_CI,Ave_CI,Macrorefugia,Hydrorefugia,Shape_Length,Shape_Area,HydroQuant,MacroQuant
28817.740000000001601,116.620000000000005,NM,1.30302E+11,Lower Playas Valley,1.30302E+11,-1.144231137,-0.401173111,-0.518183152,1.826169086036080,-1.423259393,-0.883285478,-1.014907704,-0.65134997,0.083717641,0.785932705,-1.475935929,0.272846232,0.241756068,0.057149701,0.203172563,-2.702491078,-1.493211048,-0.660213541,0.205998185,0.289715826,0.144857913,0.205998185,0.083717641,94571.815647658499074,116868447.182468444108963,1,1
34729.360000000000582,140.539999999999992,NM,1.30302E+11,Powderhorn Canyon-Mimbres River,1.30302E+11,1.028314693198110,-0.744557002,0.446626176,1.952527770594580,-0.33287626,-0.833123996,-0.261691705,-0.054258174,0.242426123,1.225289429032630,-0.952589762,0.179202447,0.293314621,-0.200429177,-0.148423901,-1.418236259,-1.25088631,-0.373680134,0.321237296,0.563663419,0.281831709,0.321237296,0.242426123,62958.188669763476355,140691466.009446948766708,4,2
39101.529999999998836,158.240000000000009,NM,1.30302E+11,Allie Canyon-Mimbres River,1.30302E+11,0.544914547,-0.744557002,0.446626176,1.952527770594580,-0.33287626,-0.833123996,-0.261691705,-0.095999515,0.231331171,1.225289429032630,-0.952589762,0.260606658,0.293314621,-0.200429177,-0.148423901,-1.418236259,-1.25088631,-0.368664667,0.323254435,0.554585606,0.277292803,0.323254435,0.231331171,89511.344914662462543,158417922.254885226488113,3,2
35244.309999999997672,142.629999999999995,NM,1.30302E+11,Sheppard Canyon-Mimbres River,1.30302E+11,0.619664849,-0.744557002,0.446626176,1.952527770594580,-0.33287626,-0.833123996,-0.261691705,-0.089544867,0.233046832,1.225289429032630,-0.952589762,0.259990526,0.293314621,-0.200429177,-0.148423901,-1.418236259,-1.25088631,-0.368702628,0.323239168,0.556286,0.278143,0.323239168,0.233046832,96172.561807551479433,142786706.178910285234451,3,2
16290.850000000000364,65.930000000000007,NM,1.30302E+11,Noonday Canyon,1.30302E+11,0.447917539,-0.744557002,0.446626176,1.952527770594580,-0.33287626,-0.833123996,-0.261691705,-0.104375155,0.229104905,1.225289429032630,-0.952589762,0.201886759,0.293314621,-0.200429177,-0.148423901,-1.418236259,-1.25088631,-0.372282511,0.321799397,0.550904302,0.275452151,0.321799397,0.229104905,54212.161079024030187,65992171.411373652517796,3,2
28928.220000000001164,117.070000000000007,NM,1.30302E+11,Brunner Canyon-Mimbres River,1.30302E+11,0.12634379,-0.744557002,0.446626176,1.952527770594580,-0.33287626,-0.833123996,-0.261691705,-0.132142874,0.221724176,1.225289429032630,-0.952589762,0.266009616,0.293314621,-0.200429177,-0.148423901,-1.418236259,-1.25088631,-0.368331781,0.323388317,0.545112493,0.272556247,0.323388317,0.221724176,73284.267952166002942,117198822.911366239190102,3,2
34646.970000000001164,140.210000000000008,NM,1.30302E+11,Gallinas Canyon,1.30302E+11,0.536278389,-0.744557002,0.446626176,1.952527770594580,-0.33287626,-0.833123996,-0.261691705,-0.096745243,0.231132954,1.225289429032630,-0.952589762,0.213242429,0.293314621,-0.200429177,-0.148423901,-1.418236259,-1.25088631,-0.371582866,0.322080783,0.553213737,0.276606869,0.322080783,0.231132954,73822.153325238978141,140341941.825682550668716,3,2
16512.569999999999709,66.820000000000007,NM,1.30302E+11,Rio de Arenas,1.30302E+11,-0.136254365,-0.744557002,0.446626176,1.952527770594580,-0.33287626,-0.833123996,-0.261691705,-0.154818083,0.215697049,1.225289429032630,-0.952589762,0.244610958,0.293314621,-0.200429177,-0.148423901,-1.418236259,-1.25088631,-0.369650192,0.322858073,0.538555122,0.269277561,0.322858073,0.215697049,56276.520624306496757,66919096.147538885474205,3,2
35844.770000000004075,145.060000000000002,NM,1.30302E+11,Cameron Creek,1.30302E+11,-0.008252019,-0.744557002,0.446626176,1.952527770594580,-0.33287626,-0.833123996,-0.261691705,-0.14376515,0.218634946,1.225289429032630,-0.952589762,0.246621709,0.293314621,-0.200429177,-0.148423901,-1.418236259,-1.25088631,-0.369526306,0.322907898,0.541542845,0.270771422,0.322907898,0.218634946,85011.089132751003490,145255788.280008196830750,3,2
29842.069999999999709,120.769999999999996,NM,1.30302E+11,Headwaters Whitewater Creek,1.30302E+11,-0.072512075,-0.744557002,0.446626176,1.952527770594580,-0.33287626,-0.833123996,-0.261691705,-0.149313971,0.217160056,1.225289429032630,-0.952589762,0.245229328,0.293314621,-0.200429177,-0.148423901,-1.418236259,-1.25088631,-0.369612093,0.322873396,0.540033452,0.270016726,0.322873396,0.217160056,68808.091146899227169,120921000.093606948852539,3,2
35432.510000000002037,143.390000000000015,NM,1.30302E+11,Cherry Creek-San Vicente Arroyo,1.30302E+11,-0.644879137,-0.744557002,0.446626176,1.952527770594580,-0.33287626,-0.833123996,-0.261691705,-0.198737557,0.204023144,1.225289429032630,-0.952589762,0.288508819,0.293314621,-0.200429177,-0.148423901,-1.418236259,-1.25088631,-0.366945563,0.323945831,0.527968975,0.263984488,0.323945831,0.204023144,137651.526338357391069,143589156.270974576473236,3,2
29063.100000000002183,117.609999999999999,NM,1.30302E+11,Whiterock Canyon,1.30302E+11,-0.41437235,-0.744557002,0.446626176,1.952527770594580,-0.33287626,-0.833123996,-0.261691705,-0.178833421,0.209313713,1.225289429032630,-0.952589762,0.309421319,0.293314621,-0.200429177,-0.148423901,-1.418236259,-1.25088631,-0.365657104,0.324464029,0.533777742,0.266888871,0.324464029,0.209313713,61799.976705281442264,117804488.183892697095871,3,2
48722.489999999997963,197.170000000000016,"NM,TX",1.30301E+11,Vado Arroyo-Rio Grande,1.30301E+11,-1.418966217,-0.433170469,0.654454026,2.025579022561770,0.757506873,-0.860646197,-0.154701285,-0.0986275,0.230632646,-0.373528665,-1.020447097,-0.405331204,0.24418455,-0.499174497,-0.379953389,-1.516725117,-1.832355144,-0.866463225,0.123047892,0.353680538,0.176840269,0.123047892,0.230632646,96694.535959407279734,195076594.131301879882812,3,1
37280.160000000003492,150.870000000000005,"NM,TX",1.30301E+11,Town of Borderland-Rio Grande,1.30301E+11,-1.462263445,-0.433170469,0.654454026,2.025579022561770,0.757506873,-0.860646197,-0.154701285,-0.102366192,0.229638892,-0.373528665,-1.020447097,0.391387287,0.24418455,-0.499174497,-0.379953389,-1.516725117,-1.832355144,-0.817375901,0.142790021,0.372428913,0.186214457,0.142790021,0.229638892,64347.424654488691885,133174473.434449851512909,3,1
30691.580000000001746,124.200000000000003,"NM,TX",1.30301E+11,Mulberry Dam-Rio Grande,1.30301E+11,-1.445863617,-0.433170469,0.654454026,2.025579022561770,0.757506873,-0.860646197,-0.154701285,-0.100950076,0.230015299,-0.373528665,-1.020447097,-0.76440365,0.24418455,-0.499174497,-0.379953389,-1.516725117,-1.832355144,-0.888586353,0.114150327,0.344165626,0.172082813,0.114150327,0.230015299,39229.905872413793986,73698871.390824988484383,3,1
