AREAACRES,AREASQKM,STATES,HUC12,NAME,TOHUC,PctCarbKarstH8,PctVolcKarstH8,AquiRichH8,vrm_mean,MeanSBDH8_rev,hli_mean_rev,hydroSumW,hydroCompositeStd,PctChange_Bio19_MEAN_H8,MeanDifSWEH8,Diff_bio8_rev,Diff_bio9_rev,MeanDifPNVH8_rev,MacroSumW,MacroCompositeStd,sum_CI,Ave_CI,Macrorefugia,Hydrorefugia,Shape_Length,Shape_Area,HydroQuant,MacroQuant
13606.659999999999854,55.060000000000002,NM,1.30202E+11,Indian Creek,1.30202E+11,-0.516264314,0.336947914,0.938535482,4.770717958498950,1.155628762831260,-0.03241622,0.922170192,0.689572386,-0.21666827,0.08818647,-0.719359379,-1.252192254,-0.77544224,-0.60030368,0.287124394,0.97669678,0.48834839,0.287124394,0.689572386,34292.445143050215847,55085866.679332979023457,5,1
26846.540000000000873,108.640000000000001,NM,1.30202E+11,Nogal Canyon-Rio Grande,1.30202E+11,-0.516264314,0.336947914,0.938535482,0.895161132,1.155628762831260,-0.142586159,0.477203109,0.53037237,-0.21666827,0.08818647,-0.719359379,-1.252192254,-0.77544224,-0.60030368,0.287124394,0.817496765,0.408748382,0.287124394,0.53037237,91009.958079847012414,108672303.311300322413445,5,1
34247.139999999999418,138.590000000000003,NM,1.30202E+11,Cuervo Canyon-Rio Grande,1.30202E+11,-0.516264314,0.336947914,0.938535482,0.542885613,1.155628762831260,-0.38395357,0.417201457,0.508905021,-0.21666827,0.08818647,-0.719359379,-1.252192254,-0.77544224,-0.60030368,0.287124394,0.796029415,0.398014707,0.287124394,0.508905021,73984.243302733622841,138628194.760945081710815,4,1
35811.930000000000291,144.930000000000007,NM,1.30202E+11,San Jose Arroyo-Rio Grande,1.30202E+11,-0.516264314,0.336947914,0.938535482,1.452210741553080,1.155628762831260,-0.508142647,0.508922171,0.541720794,-0.21666827,0.08818647,-0.719359379,-1.252192254,-0.77544224,-0.60030368,0.287124394,0.828845189,0.414422594,0.287124394,0.541720794,85187.709247841587057,144967459.398396611213684,5,1
35421.779999999998836,143.349999999999994,NM,1.30202E+11,Limestone Canyon-Alamosa Creek,1.30202E+11,-0.516264314,0.336947914,0.938535482,0.842323815,1.155628762831260,-1.0363313,0.395718069,0.501218709,-0.21666827,0.08818647,-0.719359379,-1.252192254,-0.77544224,-0.60030368,0.287124394,0.788343103,0.394171552,0.287124394,0.501218709,73445.833608709508553,143445089.278054624795914,4,1
32613.200000000000728,131.979999999999990,NM,1.30202E+11,Big Pigeon Canyon-Alamosa Creek,1.30202E+11,-0.516264314,0.336947914,0.938535482,2.042432938972760,1.155628762831260,-1.691411785,0.475251437,0.529674102,-0.21666827,0.08818647,-0.719359379,-1.252192254,-0.77544224,-0.60030368,0.287124394,0.816798496,0.408399248,0.287124394,0.529674102,93073.846015034680022,132062098.149938195943832,5,1
22527.819999999999709,91.170000000000002,NM,1.30202E+11,Little Pigeon Canyon-Alamosa Creek,1.30202E+11,-0.516264314,0.336947914,0.938535482,0.621191342,1.155628762831260,-0.466678309,0.419011403,0.509552582,-0.21666827,0.08818647,-0.719359379,-1.252192254,-0.77544224,-0.60030368,0.287124394,0.796676976,0.398338488,0.287124394,0.509552582,69675.451652289833874,91234476.053602963685989,4,1
27662.190000000002328,111.950000000000003,NM,1.30202E+11,Whitewater Canyon-Alamosa Creek,1.30202E+11,-0.516264314,0.336947914,0.938535482,1.397942556446960,1.155628762831260,-1.623461213,0.40854736,0.505808764,-0.21666827,0.08818647,-0.719359379,-1.252192254,-0.77544224,-0.60030368,0.287124394,0.792933158,0.396466579,0.287124394,0.505808764,80316.356533372207195,112013248.433260709047318,4,1
28440.510000000002037,115.090000000000003,NM,1.30202E+11,West Red Canyon,1.30202E+11,-0.516264314,0.336947914,0.938535482,2.964623372096310,1.155628762831260,-1.188616347,0.62141544,0.581968558,-0.21666827,0.08818647,-0.719359379,-1.252192254,-0.77544224,-0.60030368,0.287124394,0.869092953,0.434546476,0.287124394,0.581968558,89632.849492429755628,115157583.102093324065208,5,1
32902.400000000001455,133.150000000000006,NM,1.30202E+11,Wahoo Canyon-Alamosa Creek,1.30202E+11,-0.516264314,0.336947914,0.938535482,1.613169572248670,1.155628762831260,-0.209646551,0.55224666,0.5572214,-0.21666827,0.08818647,-0.719359379,-1.252192254,-0.77544224,-0.60030368,0.287124394,0.844345794,0.422172897,0.287124394,0.5572214,63021.844309159860131,133255672.620888024568558,5,1
24320.020000000000437,98.420000000000002,NM,1.30202E+11,Sim Yaten Canyon-Alamosa Creek,1.30202E+11,-0.516264314,0.336947914,0.938535482,1.109715838082430,1.155628762831260,-1.001017242,0.428760832,0.513040726,-0.21666827,0.08818647,-0.719359379,-1.252192254,-0.77544224,-0.60030368,0.287124394,0.80016512,0.40008256,0.287124394,0.513040726,94863.440423783133156,98484597.674519270658493,4,1
39926.980000000003201,161.580000000000013,NM,1.30202E+11,Wildhorse Canyon,1.30202E+11,-0.516264314,0.336947914,0.938535482,0.96051229,1.155628762831260,-0.512640602,0.453269717,0.521809498,-0.21666827,0.08818647,-0.719359379,-1.252192254,-0.77544224,-0.60030368,0.287124394,0.808933892,0.404466946,0.287124394,0.521809498,80135.755088887672173,161700971.099126935005188,5,1
13172.120000000000800,53.310000000000002,NM,1.30202E+11,Post Canyon-Alamosa Creek,1.30202E+11,-0.516264314,0.336947914,0.938535482,1.041790584500010,1.155628762831260,-2.053256541,0.332182715,0.478487074,-0.21666827,0.08818647,-0.719359379,-1.252192254,-0.77544224,-0.60030368,0.287124394,0.765611468,0.382805734,0.287124394,0.478487074,45181.447261760717083,53337211.110026694834232,4,1
32197.520000000000437,130.300000000000011,NM,1.30202E+11,Grapevine Canyon-Alamosa Creek,1.30202E+11,-0.516264314,0.336947914,0.938535482,3.181511540058510,1.155628762831260,-1.434494509,0.625012698,0.583255583,-0.21666827,0.08818647,-0.719359379,-1.252192254,-0.77544224,-0.60030368,0.287124394,0.870379977,0.435189989,0.287124394,0.583255583,76446.043305300700013,130373261.665093824267387,5,1
33509.569999999999709,135.610000000000014,NM,1.30202E+11,San Mateo Canyon-Alamosa Creek,1.30202E+11,-0.516264314,0.336947914,0.938535482,3.323920407051180,1.155628762831260,-2.237725631,0.573126327,0.564691713,-0.21666827,0.08818647,-0.719359379,-1.252192254,-0.77544224,-0.60030368,0.287124394,0.851816107,0.425908054,0.287124394,0.564691713,64755.007606890765601,135676501.574820607900620,5,1
