AREAACRES,AREASQKM,STATES,HUC12,NAME,TOHUC,PctSlowInfsH12,cti_mean,aspect_sh3_mean,geomorph_sh3_std,HLI_rev,HydroSumW,HydroCompositeStd,PctChange_Bio18_MEAN,PctChg_Bio14_MEAN,MeanDifSMCH12,Back_rcp45_rev,Diff_bio9_rev,Diff_bio5_rev,MeanDifETH12_rev,MacroSumW,MacroCompositeStd,sum_CI,Ave_CI,Macrorefugia,Hydrorefugia,Shape_Length,Shape_Area,HydroQuant,MacroQuant
32312.610000000000582,130.759999999999991,NM,1.30202E+11,Headwaters San Pedro Creek,1.30202E+11,0.891120183,-0.983049302,0.696713061,-0.115705572,0.816554868,-0.008790801,0.361193395,-0.031541891,-0.456088105,0.076320812,-0.012709963,-1.851216683,0.704346972,0.451868569,0.008509685,0.372424321,0.733617717,0.366808858,0.372424321,0.361193395,67019.741665648776689,130706377.722743928432465,3,3
25331.150000000001455,102.510000000000005,NM,1.30202E+11,Outlet San Pedro Creek,1.30202E+11,-0.069350132,-1.045120676,0.748623409,-0.078436405,1.253887144127970,-0.144574921,0.336889488,0.109334269,-0.319834555,0.035357448,0.065291811,-1.908463456,0.570123192,0.181675881,-0.032721754,0.364138453,0.701027942,0.350513971,0.364138453,0.336889488,82026.383923200075515,102465504.106792718172073,2,3
20170.630000000001019,81.629999999999995,NM,1.30202E+11,Arroyo Una de Gato,1.30202E+11,0.761009574,-0.858582216,1.029215747757050,0.130991844,0.226905958,0.112881601,0.382971455,-0.073430178,0.05421094,-0.046720139,-0.039563999,-2.429654503,1.153440846377240,0.021281469,-0.076963466,0.355247641,0.738219096,0.369109548,0.355247641,0.382971455,61637.387063041773217,81587910.623907059431076,4,3
14723.819999999999709,59.590000000000003,NM,1.30202E+11,Arroyo Coyote,1.30202E+11,0.152311942,-0.521288968,0.181871316,1.144704929097340,-0.426799045,0.21990447,0.402127405,-0.123609856,-0.034337639,-0.038507223,0.111252534,-1.962410424,1.434916801485910,0.02680866,-0.034259683,0.363829391,0.765956797,0.382978398,0.363829391,0.402127405,44013.233472353051184,59556555.653548002243042,4,3
11126.930000000000291,45.030000000000001,NM,1.30202E+11,Canon Tejon-Arroyo Coyote,1.30202E+11,-0.316222895,-1.090339018,1.431136381127630,-0.300573611,1.724043839583690,-0.112788143,0.342578982,0.191663355,-0.590122861,-0.00014185,-0.190902673,-3.138667231,-0.442502027,0.05544745,-0.247299699,0.321016878,0.663595861,0.33179793,0.321016878,0.342578982,40910.714882298147131,45010150.282928533852100,2,2
20474.700000000000728,82.859999999999999,NM,1.30202E+11,Arroyo Tonque,1.30202E+11,-0.435472729,-0.744386678,2.153861125708780,-0.244932505,0.517130717,0.063333563,0.374102886,-0.018368699,0.039085721,-0.007353654,-0.77970979,-1.699973029,0.381227605,0.110282422,-0.142640865,0.342049113,0.716151999,0.358076,0.342049113,0.374102886,62427.016065478215751,82822266.134973183274269,4,2
28444.990000000001601,115.109999999999999,NM,1.30202E+11,Peralta Canyon,1.30202E+11,0.378851863,-1.683091666,1.245334236585630,-0.701760379,1.094139436737420,-0.359918684,0.298345255,-0.268660526,-0.400853009,0.006445535,-1.051333858,-1.362477176,0.234253042,0.364964893,-0.194307729,0.331666143,0.630011398,0.315005699,0.331666143,0.298345255,71410.107083413837245,115070473.047795012593269,1,2
19805.450000000000728,80.150000000000006,NM,1.30202E+11,Canon Santo Domingo,1.30202E+11,-0.150575143,-1.107150988,1.233865116179100,-0.227912556,0.452155172,-0.169554022,0.332418496,-0.385874323,-0.458347732,-0.207350627,-0.670057652,-1.676876123,0.960111538,0.029917272,-0.282185572,0.314006215,0.646424711,0.323212356,0.314006215,0.332418496,59724.164873516921944,80120954.514738395810127,2,2
10690.829999999999927,43.259999999999998,NM,1.30202E+11,1.30202E+11,1.30202E+11,-0.947083019,-1.041217456,2.180550906947870,-0.984111141,0.366882547,-0.331613598,0.303411563,-0.156554238,-0.17535626,-0.384993592,-0.866822623,-0.359267295,0.981072857,-0.103798796,-0.25038915,0.320396023,0.623807586,0.311903793,0.320396023,0.303411563,58008.598442269780207,43248625.479349829256535,1,2
24187.159999999999854,97.879999999999995,NM,1.30202E+11,La Majada Mesa-Rio Grande,1.30202E+11,-1.419782279,-0.161971443,2.593710520863200,1.581500970320620,0.646132487,0.702918472,0.488581752,-0.23048288,0.312922446,-0.305917272,-0.89265449,-1.018605679,-0.460372491,-0.13284168,-0.289823839,0.312471229,0.801052981,0.40052649,0.312471229,0.488581752,91190.038117518299259,97840963.126398429274559,5,2
