AREAACRES,AREASQKM,STATES,HUC12,NAME,TOHUC,MeanCanHei,PctMarWetMeaH12,PctNatSemNatWoo12,PctTreCanBuf,dem_mean,aspect_sh3_mean,geomorph_sh3_std,PctCarbKarstH8,PctVolcKarstH8,hli_mean_rev,sbd250m_100bd_mean_rev,HydroSumW,HydroCompositeStd,PctChange_Bio18_MEAN,PctChange_Bio19_MEAN,MeanDifSWEH12,MeanJunFloPctCh2040,Back_rcp45_rev,Diff_bio8_rev,Diff_bio9_rev,Diff_bio5_rev,MeanDifPNVH12_rev,StrTemCha2040_rev,MacroSumW,MacroCompositeStd,sum_CI,Ave_CI,Macrorefugia,Hydrorefugia,Shape_Length,Shape_Area,HydroQuant,MacroQuant
26846.540000000000873,108.640000000000001,NM,1.30202E+11,Nogal Canyon-Rio Grande,1.30202E+11,0.093677495,-0.265424151,1.136642540170170,-1.210674019,-1.691019993,0.789122034,1.288594235942680,-0.532006347,0.00467343,-0.235278561,0.442822734,0.127613433,0.214842708,0.02463226,-0.517165913,0.223353935,0.128311262,-0.348390228,-0.886509513,-0.496518682,-0.98691708,-2.358685033,0.687418412,-0.098255312,0.619698491,0.834541199,0.417270599,0.619698491,0.214842708,91009.958079847114277,108672303.311300322413445,4,2
31515.110000000000582,127.540000000000006,NM,1.30201E+11,Arroyo de los Chavez-Rio Grande,1.30201E+11,0.193448231,0.22214706,2.997242216966480,-1.532655712,-1.323046305,2.217863791555540,2.669046990183400,0.134923718,2.201382555721970,0.413095637,-0.889965361,0.898543017,0.436814063,0.002117186,0.720720686,0.215433848,0.226433916,0.043525848,0.324489692,0.533544882,0.527255505,-0.803205418,0.574929387,0.297357307,0.753051418,1.189865481380180,0.594932741,0.753051418,0.436814063,91724.569018757116282,127464167.963430404663086,5,4
22761.779999999998836,92.109999999999999,NM,1.504E+11,Devils Creek,1.504E+11,0.705472146,-0.454849381,-0.286754083,0.309790909,-0.625749975,-1.031897296,-0.097883008,-0.74637128,-0.579192356,-1.84952864,0.370689952,-0.424996304,0.055731506,1.274925753020860,0.635385183,2.492787510228280,0.043067286,0.892706768,0.500757955,0.446227682,0.015561728,1.166875745358280,0.423635755,1.029969464917070,1.000000000000000,1.055731505856600,0.527865753,1.000000000000000,0.055731506,55775.655153212195728,92322052.003918379545212,1,5
44419.340000000003783,179.759999999999991,"AZ,NM",1.40802E+11,Whiskey Creek,1.40802E+11,1.496804983325210,-0.053804689,0.035435522,-0.032666768,0.778174203,0.693980827,-0.510893163,-0.1007709,-0.602836739,-0.145145668,-0.181807073,0.056056567,0.194239562,-0.536478655,0.052592734,0.332827692,0.580979568,-1.621210548,-1.062276507,-1.344342686,-2.143253492,-0.858504945,-5.916754387,-1.84025804,0.032504982,0.226744544,0.113372272,0.032504982,0.194239562,51451.256517756228277,86115152.684494048357010,4,1
33058.239999999997963,133.780000000000001,NM,1.30202E+11,Canada de Pedro Padilla,1.30202E+11,-1.079296088,-0.452798003,-1.136057171,-1.448378323,0.349406592,-0.454763618,0.605747328,-0.049312599,-0.031853023,0.117701854,-0.827464152,-0.298572331,0.092132367,0.08523237,0.071876463,0.265137679,2.282940370619800,-0.053428554,0.722780335,-0.214478181,1.397476285969340,-0.874817647,0.341968231,0.389521871,0.784118208,0.876250575,0.438125288,0.784118208,0.092132367,97330.562504866669769,133828343.037661060690880,2,5
31701.709999999999127,128.289999999999992,NM,1.30302E+11,Donahue Canyon-Mimbres River,1.30302E+11,0.096193341,-0.450191351,1.509627755632740,-0.82065635,-0.92882008,0.705640444,-1.675368612,-0.664344693,0.132556793,-2.034839355,-0.250514761,-0.472344154,0.042098787,0.72906469,-0.156290665,0.25028703,0.364510629,-0.538389217,-0.467148269,-0.190243701,-1.697276394,-0.780460544,0.480569239,0.046363736,0.668446616,0.710545403,0.355272701,0.668446616,0.042098787,70190.591290146010579,128410403.183572411537170,1,3
29063.100000000002183,117.609999999999999,NM,1.30302E+11,Whiterock Canyon,1.30302E+11,-1.117349612,-0.454849381,-1.107243485,-1.64681627,-1.591950746,1.115728647843000,-0.860072243,-0.664344693,0.132556793,-1.008501858,-1.76481445,-0.579588224,0.011220336,1.448907655963880,-0.546981924,0.224292988,0.369796808,-0.038159681,-0.523659159,0.353459599,-0.891054007,-1.715205535,0.638830713,0.163824723,0.708040314,0.719260649,0.359630325,0.708040314,0.011220336,61799.976705281413160,117804488.183892697095871,1,4
25104.279999999998836,101.590000000000003,NM,1.306E+11,Outlet Elk Canyon,1.306E+11,-0.989307658,-0.454849381,0.471384333,-0.045779425,-0.427212685,-0.489017592,-1.252480628,4.226727887391610,-0.602836739,-0.937372536,-0.217810528,-0.334915557,0.081668175,-1.027061237,-1.117397828,0.294978722,-0.00323949,0.764219426,0.90680722,-0.662328279,0.276803441,0.273040133,0.440026014,0.168672348,0.709674349,0.791342524,0.395671262,0.709674349,0.081668175,77513.163237731583649,101517057.811828151345253,1,4
23315.400000000001455,94.350000000000009,NM,1.30202E+11,Church Canyon-Jemez River,1.30202E+11,0.508562746,-0.348597802,1.011829567120260,0.887530603,-0.240889478,0.193061129,-0.153141932,1.113325668461200,-0.210928457,-0.086884019,0.355903166,0.060987671,0.195659359,-0.914728578,-0.561748081,0.475432424,-0.002503456,-1.601382821,0.093209615,-0.129975488,0.104963991,0.280280915,0.312607616,0.026325402,0.661692103,0.857351463,0.428675731,0.661692103,0.195659359,71644.381690341106150,94331586.624746501445770,4,3
28944.540000000000873,117.129999999999995,NM,1.30202E+11,Headwaters Borrego Canyon,1.30202E+11,1.627323238166580,-0.454849381,-1.015677029,0.998080865,-0.292437786,0.275602278,0.326196268,0.013349269,0.902057622,-0.312775317,-0.530449792,0.021220255,0.184209251,-0.630165069,-0.580204073,0.211066754,0.536434445,-1.668033131,0.772278199,0.920746245,1.190738453705980,-0.878761749,0.290776733,0.135498058,0.698491974,0.882701225,0.441350612,0.698491974,0.184209251,68988.524507816007826,117099698.017717406153679,4,4
30344.810000000001310,122.799999999999997,NM,1.306E+11,Cherokee Bill Canyon,1.306E+11,0.324617772,-0.344602009,-1.117714587,0.407049696,0.126636981,0.049495432,-0.956662752,2.952455048191210,-0.602836739,-0.738759268,0.489899473,-0.162072074,0.131434461,-0.398067969,-0.974182647,0.362954176,0.039024921,0.620833596,0.914775491,-0.401924543,0.547742454,0.977897111,0.110019886,0.22236289,0.727772333,0.859206794,0.429603397,0.727772333,0.131434461,68536.102954071015120,122714518.532808005809784,2,4
31683.840000000000146,128.219999999999999,NM,1.504E+11,South Fork Negrito Creek,1.504E+11,0.63696619,-0.2671805,-0.453552507,0.345874529,0.492003997,-0.809697234,-0.615418225,-0.74637128,-0.579192356,-0.610217598,-0.039488549,-0.332235151,0.082439936,1.444236411030750,0.461155496,1.597912223030900,-0.091780926,0.726154551,-0.202910599,0.582347369,-0.254798664,0.533522595,0.113930069,0.611325722,0.858883752,0.941323688,0.470661844,0.858883752,0.082439936,68144.978663315298036,128465211.742276161909103,1,5
23885.110000000000582,96.659999999999997,NM,1.30201E+11,Outlet Rio Tesuque,1.30201E+11,-0.586501705,-0.363029044,0.332311825,-1.195208763,-0.939689165,3.170237639640290,-0.874505127,0.134923718,2.201382555721970,0.537039843,0.092783845,0.18328549,0.23087219,-0.341343038,-0.093320043,0.097434624,0.262943541,0.502083579,-0.174240584,1.820480594172050,0.612772359,-0.433122704,0.433369677,0.218911862,0.726609062,0.957481252,0.478740626,0.726609062,0.23087219,58380.093944921973161,96601332.566091328859329,4,4
25882.000000000000000,104.740000000000009,"AZ,NM",1.504E+11,Vigil Canyon,1.504E+11,-0.710901121,-0.437275812,0.279304547,-0.807014041,-1.341892673,-1.466263197,0.629332157,-0.74637128,-0.579192356,-0.374246968,1.214389021914440,-0.378017648,0.069257924,2.032809470034150,0.898301771,0.718178823,0.332252523,0.362581602,1.423635167309290,0.714777042,1.271119375305770,0.177227424,0.509154427,0.829231215,0.93233524,1.001593163731600,0.500796582,0.93233524,0.069257924,46173.997275465015264,83404066.890352249145508,1,5
36902.279999999998836,149.340000000000003,NM,1.108E+11,Middle Ponil Creek,1.108E+11,-0.074104041,0.271542861,0.504506321,0.712309952,1.184079102528710,-1.393518416,-0.437101014,-0.42405683,-0.602836739,1.720439375869070,0.79971654,0.02501853,0.185302877,-0.248074098,0.168988329,-0.017299705,-1.521965661,0.785658502,0.346037917,0.948789747,0.541987344,0.366433387,-0.004417431,0.061981731,0.673711123,0.859014,0.429507,0.673711123,0.185302877,84836.808521961022052,149219490.610911399126053,4,3
24275.529999999998836,98.240000000000009,NM,1.104E+11,Oak Creek-Dry Cimarron River,1.104E+11,-0.712831186,-0.44412778,-0.962722575,0.059221046,-0.709487346,-0.594007875,-0.140949499,0.567905438,0.083128747,0.870695052,-0.679910324,-0.311471784,0.088418268,-0.075587834,2.039629885554700,0.228553262,0.350448838,0.25105756,-0.761662219,-0.136727122,-0.594242009,-0.458004399,0.576652043,0.18382053,0.714780491,0.803198759,0.40159938,0.714780491,0.088418268,61088.672640513657825,98183922.940068900585175,1,4
19811.299999999999272,80.170000000000002,NM,1.30202E+11,Rito de los Pinos-Arroyo San Jose,1.30202E+11,0.354380301,-0.159191959,0.079904687,0.414960022,0.085858021,1.344008048722290,0.70237496,-0.081206515,-0.520238879,0.045859656,-0.535281174,0.23554385,0.245918777,-2.281009501,0.405723066,0.147937658,1.928919259781780,-0.104484605,0.691003402,-1.710240052,0.615797949,0.951412557,0.089834596,0.056225844,0.671770931,0.917689708,0.458844854,0.671770931,0.245918777,60670.445289212606440,80171780.571395888924599,5,3
