AREAACRES,AREASQKM,STATES,HUC12,NAME,TOHUC,MeanCanHei,PctMarWetMeaH12,PctTreCanBuf,mean_avwatstr,cti_mean,dem_mean,aspect_sh3_mean,geomorph_sh3_std,PctCarbKarstH8,sbd250m_100bd_mean_rev,hli_mean_rev,HydroSumW,HydroCompositeStd,PctChange_Bio18_MEAN_H8,PctChange_Bio19_MEAN_H8,MeanJunFloPctCh2040,MeanDifSWEH8,Back_rcp45_rev,Diff_bio8_rev,Diff_bio9_rev,Diff_bio5_rev,MeanDifETH8_rev,MacroSumW,MacroCompositeStd,sum_CI,Ave_CI,Macrorefugia,Hydrorefugia,Shape_Length,Shape_Area,HydroQuant,MacroQuant
16101.590000000000146,65.159999999999997,NM,130600110906,Crooked Creek-Dark Canyon,130600110909,-0.466564890510352,2.229461881772540,-0.737653140717412,-0.793063747733896,-0.384989888963601,-1.443338355278230,0.295587334691718,-0.637164502573621,0.447777782907199,0.895087777928053,-1.108321402708580,0.439236230333058,0.268190864495819,-1.969560314987430,-1.572064202699270,-0.216355190965336,0.116173289600845,-0.787970369052005,0.558749407101986,0.009293105156138,0.723254909259366,-1.754191408368480,-0.619220532531743,0.175424437885534,0.443615302381353,0.221807651190677,0.175424437885534,0.268190864495819,54920.248163096293865,65113076.324921436607838,5,1
13838.430000000000291,56.000000000000000,NM,130600110907,Sheep Draw,130600110908,-0.474263261760158,-0.282247222171936,-0.730323502441235,-0.830261853332061,-0.569071313752622,-1.606371065333940,0.618193013612777,-0.782134267278748,0.447777782907199,0.265282294669575,-1.246605659310450,-0.390121293836799,0.137997803802360,-1.969560314987430,-1.572064202699270,-0.014000650968620,0.116173289600845,-0.810633141323038,0.558749407101986,0.009293105156138,0.723254909259366,-1.754191408368480,-0.592271757973618,0.184412367028337,0.322410170830697,0.161205085415349,0.184412367028337,0.137997803802360,42909.708077803683409,55962131.984031565487385,1,1
38949.510000000002037,157.620000000000005,NM,130600110908,Little McKittrick Draw,130600110909,-0.445666336015737,-0.262547634934657,-0.732441753317780,-0.554633134805230,-0.427050905759271,-1.575002155231040,0.356585846323672,-0.524950104446739,0.447777782907199,0.370011039818457,-1.097701956873440,-0.314179815784865,0.149919144325632,-1.969560314987430,-1.572064202699270,-0.015801951520687,0.116173289600845,-0.791175281586901,0.558749407101986,0.009293105156138,0.723254909259366,-1.754191408368480,-0.591548841911965,0.184653473291789,0.334572617617421,0.167286308808710,0.184653473291789,0.149919144325632,83954.647633132015471,157509278.117835402488708,1,1
14516.030000000000655,58.740000000000002,NM,130600110909,Dark Canyon Draw,130600111008,-0.455276876508065,5.354181877249540,-0.733434912942673,-0.729865352714459,0.290952596177799,-1.809024738489320,0.618792022267040,0.981779559946063,0.447777782907199,0.646468642756591,-0.836337274270732,1.565469356193310,0.444987642045857,-1.969560314987430,-1.572064202699270,-0.335107230254059,0.116173289600845,-1.069311244242360,0.558749407101986,0.009293105156138,0.723254909259366,-1.754191408368480,-0.649767485545185,0.165236447755550,0.610224089801407,0.305112044900703,0.165236447755550,0.444987642045857,56415.756986157357460,58703426.360071532428265,5,1
34282.610000000000582,138.740000000000009,NM,130600111001,Chalk Bluff Draw-Pecos River,130600111002,-0.311404176227114,7.607077513809080,-0.742176086672743,-0.167041775286219,1.294597174213350,-1.812596692507320,-0.098761120354860,1.005484974171250,0.447777782907199,0.375824718465176,-0.957652094137249,2.228964738837190,0.549143560458546,-1.969560314987430,-1.572064202699270,-0.550160925519307,0.116173289600845,0.116949359262207,0.558749407101986,0.009293105156138,0.723254909259366,-1.754191408368480,-0.620298703973347,0.175064847192457,0.724208407651003,0.362104203825501,0.175064847192457,0.549143560458546,61188.095247111945355,138640462.358326345682144,5,1
17696.959999999999127,71.620000000000005,NM,130600111002,Lake McMillan-Pecos River,130600111003,0.015214213201504,17.428876401435499,-0.729614583949163,-0.540250502725136,1.467051701901970,-1.870766316063260,0.533701933923270,1.002179455597730,0.447777782907199,0.757459491169500,-0.991791770806676,5.101016278777070,1.000000000000000,-1.969560314987430,-1.572064202699270,-0.571860008457940,0.116173289600845,-0.338301313617533,0.558749407101986,0.009293105156138,0.723254909259366,-1.754191408368480,-0.646072545211409,0.166468780670548,1.166468780670550,0.583234390335274,0.166468780670548,1.000000000000000,40063.258160596364178,71566771.445128381252289,5,1
23795.799999999999272,96.299999999999997,NM,130600111003,Brantley Lake-Pecos River,130600111005,-0.203119189509993,1.976955067597120,-0.718258185952494,-0.746520647537645,0.434054413904404,-1.808664750348370,0.031367227421816,0.826297791632311,0.447777782907199,0.696948791637895,-0.847658114042545,0.596852103397803,0.292933502417518,-1.969560314987430,-1.572064202699270,-0.244003679832583,0.116173289600845,-0.751293319886016,0.558749407101986,0.009293105156138,0.723254909259366,-1.754191408368480,-0.621223621234787,0.174756369684849,0.467689872102367,0.233844936051184,0.174756369684849,0.292933502417518,56135.807854946317093,96228649.570695936679840,5,1
33553.419999999998254,135.789999999999992,NM,130600111004,Dagger Draw,130600111005,-0.474263261760158,-0.282247222171936,-0.745930927621087,2.027891206307520,1.177956493717650,-1.788120761956710,0.104570573618321,1.330144597928770,0.447777782907199,0.366750609785100,-0.963432608061019,0.144028364320969,0.221848949824738,-1.969560314987430,-1.572064202699270,-0.237791809821775,0.116173289600845,-0.194373886795916,0.558749407101986,0.009293105156138,0.723254909259366,-1.754191408368480,-0.592515592350036,0.184331043623701,0.406179993448439,0.203089996724220,0.184331043623701,0.221848949824738,89632.132679788555834,135693547.967438131570816,4,1
16286.250000000000000,65.909999999999997,NM,130600111005,Spencer Draw-Pecos River,130600111007,-0.344890301581743,-0.270765024421295,-0.735317827020626,-0.811373730634625,0.182051886429503,-1.824174425216570,-0.138502026212923,0.128371843759982,0.447777782907199,0.030357634448781,-0.847328862438115,-0.265742325504335,0.157522891718222,-1.969560314987430,-1.572064202699270,-0.207152348288873,0.116173289600845,-0.983549089862991,0.558749407101986,0.009293105156138,0.723254909259366,-1.754191408368480,-0.627722336717592,0.172588924402589,0.330111816120811,0.165055908060405,0.172588924402589,0.157522891718222,46447.100484215654433,65861285.124460406601429,1,1
12891.180000000000291,52.170000000000002,NM,130600111006,Hackberry Draw,130600111007,0.254479957488912,-0.281296673591585,-0.728093623395066,-0.770523069176464,0.250192534549978,-1.870322568972190,-0.033656387299642,0.615581553210575,0.447777782907199,1.954494591195080,-0.757857051303868,0.126060466021285,0.219028337958696,-1.969560314987430,-1.572064202699270,-0.071624952538664,0.116173289600845,-1.111677828816820,0.558749407101986,0.009293105156138,0.723254909259366,-1.754191408368480,-0.615320850898131,0.176725055920198,0.395753393878894,0.197876696939447,0.176725055920198,0.219028337958696,34373.514195608317095,52132627.123156651854515,4,1
